ReviewText,Review,ReviewLength,PlayHours,DatePosted
"EARLY ACCESS REVIEWExperience the thrill of multiplayer amazon, mixed in with the fear of the unknown, explore the vast cosmos and it's eldritch horror right in front of your eyes!Discover the adrenaline of what makes one truly alive as you risk your life just to get by, get rich fast, or stay poor and fear the impending doom that lays ahead of you!1337/42",Recommended,296,14.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe best thing about this game is the perfect cuts when your friends die.(No one will read this Ik),Recommended,98,3.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBEST GAME ON STEAM,Recommended,32,13.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWYour balls will be tickled,Recommended,39,26.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWthis game keeps giving me boners, help me.",Recommended,52,129.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe community is mostly nice and the gameplay is solid. (but you knew that didn't you?),Recommended,89,19.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe future pentacle of child labor.,Recommended,47,27.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit is fun,Recommended,24,8.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWbracken is hot,Recommended,29,63.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWIn my opinion this is the best multiplayer horror game for fun, it has alot of stuff. For me when i play multiplayer even tho i know evrything its still hella fun to se when people die, scream or just make jokes and playing the first three maps alone is very calming and fun in its own way, this is the game that made me relize that talking to people aint that bad :)Love this game so fricking much",Recommended,337,130.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWExperience the thrill of multiplayer amazon, mixed in with the fear of the unknown, explore the vast cosmos and it's eldritch horror right in front of your eyes!Discover the adrenaline of what makes one truly alive as you risk your life just to get by, get rich fast, or stay poor and fear the impending doom that lays ahead of you!1337/42",Recommended,296,14.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe best thing about this game is the perfect cuts when your friends die.(No one will read this Ik),Recommended,98,3.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,5.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsuper duper cool my friends murdered me though to reach the quota,Recommended,71,54.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyippee,Recommended,23,294.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWdeez,Recommended,21,15.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWvery lethal, 10/10",Recommended,33,19.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgreat game,Recommended,26,13.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsurely it can't be that lethal,Recommended,42,10.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgud,Recommended,20,28.8 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWAbsolutely great game. Good fear factor, AMAZING with friends, mods are great.It's not really for me though.",Not Recommended,109,1.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmasterpiece,Recommended,28,150.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,5.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsuper duper cool my friends murdered me though to reach the quota,Recommended,71,54.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyippee,Recommended,23,294.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWdeez,Recommended,21,15.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWvery lethal, 10/10",Recommended,33,19.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgreat game,Recommended,26,13.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsurely it can't be that lethal,Recommended,42,10.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgud,Recommended,20,28.8 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWAbsolutely great game. Good fear factor, AMAZING with friends, mods are great.It's not really for me though.",Not Recommended,109,1.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmasterpiece,Recommended,28,150.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWVery nice besides getting called slurs all the time pretty cool,Recommended,70,11.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game very scary! oooooooooooh ghosts,Recommended,53,229.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWamerica ya :3,Recommended,28,34.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWgood horror game that can be funny with friends and mods, or be more terrifying def get if you can and convince friends to as well",Recommended,122,24.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWuhhhhhh 5 butlers ganged up and mugged me,Recommended,51,33.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgame is so much fun i have a blast playing with my friends every time,Recommended,72,22.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWMe nu good employee, so boss showed me space :D",Recommended,55,8.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWall honesty, very good if you got a pc better than a lemon. (my pc is such lemon)",Recommended,81,43.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWestá pro,Recommended,24,9.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThe slot machines go brrrr in the mods, and the giant robots go brrrr when chasing you while crying like a baby.",Recommended,108,107.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWVery nice besides getting called slurs all the time pretty cool,Recommended,70,11.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game very scary! oooooooooooh ghosts,Recommended,53,229.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWamerica ya :3,Recommended,28,34.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWgood horror game that can be funny with friends and mods, or be more terrifying def get if you can and convince friends to as well",Recommended,122,24.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWuhhhhhh 5 butlers ganged up and mugged me,Recommended,51,33.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgame is so much fun i have a blast playing with my friends every time,Recommended,72,22.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWMe nu good employee, so boss showed me space :D",Recommended,55,8.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWall honesty, very good if you got a pc better than a lemon. (my pc is such lemon)",Recommended,81,43.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWestá pro,Recommended,24,9.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThe slot machines go brrrr in the mods, and the giant robots go brrrr when chasing you while crying like a baby.",Recommended,108,107.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWFunny scary game. Even more funnier and scarier with mods,Recommended,65,20.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwatched as 2 turrets and 3 mines killed all my friends meanwhile one of them was blaring white girl music. 10/10 would recommend,Recommended,123,78.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvery fun,Recommended,24,16.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWboobs,Recommended,22,38.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWidfk,Recommended,21,2.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcomedy,Recommended,23,107.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnobody will read this review so i'll just say it. this is a really good game. very fun. 200 stars :3,Recommended,97,55.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWupdate when,Recommended,27,3.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMake Lethal Company Great Again!,Not Recommended,45,29.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyea,Recommended,20,8.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWFunny scary game. Even more funnier and scarier with mods,Recommended,65,20.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwatched as 2 turrets and 3 mines killed all my friends meanwhile one of them was blaring white girl music. 10/10 would recommend,Recommended,123,78.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvery fun,Recommended,24,16.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWboobs,Recommended,22,38.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWidfk,Recommended,21,2.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcomedy,Recommended,23,107.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnobody will read this review so i'll just say it. this is a really good game. very fun. 200 stars :3,Recommended,97,55.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWupdate when,Recommended,27,3.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMake Lethal Company Great Again!,Not Recommended,45,29.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyea,Recommended,20,8.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is perfect with the boys. I recommend it,Recommended,58,56.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,97.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt's a ruthless frustrating masochistic game... that's also very enjoyable.,Recommended,83,29.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfunny,Recommended,22,40.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyes,Recommended,20,14.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWthis game is seegma :),Recommended,35,36.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,34.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi love the company,Recommended,32,163.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEW10/10we always go for the beehives,we always die,we always laugh.",Recommended,73,11.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,33.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is perfect with the boys. I recommend it,Recommended,58,56.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,97.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt's a ruthless frustrating masochistic game... that's also very enjoyable.,Recommended,83,29.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfunny,Recommended,22,40.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyes,Recommended,20,14.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWthis game is seegma :),Recommended,35,36.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,34.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi love the company,Recommended,32,163.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEW10/10we always go for the beehives,we always die,we always laugh.",Recommended,73,11.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,33.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI got touched 10/10,Recommended,33,34.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBeta keeps crashing. Never had this issue before.,Recommended,59,48.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwatch out for bees,Recommended,32,11.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,104.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcannot play the game with zach because it always devolves into gay erp with someone else on our crew,Recommended,99,74.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWLethal Company: A Searing Indictment of Western Exploitation Disguised as EntertainmentAt first glance, ""Lethal Company"" may seem like just another science fiction game, but upon closer examination, it reveals a disturbing truth about the insidious nature of Western exploitation. The game's premise of scavenging for resources on distant planets for a mysterious company speaks volumes about the predatory practices of Western corporations, which exploit vulnerable populations and ravage the environment in pursuit of profit.What sets ""Lethal Company"" apart is its unflinching portrayal of the human cost of such exploitation. As players navigate the treacherous landscapes of these distant planets, they are confronted with the grim reality of forced labor, environmental destruction, and systemic oppression perpetrated by the eponymous company. This stark depiction serves as a poignant reminder of the atrocities committed by Western powers in their relentless quest for dominance.Moreover, the game's narrative challenges players to question their own complicity in these injustices. By assuming the role of employees of the lethal company, players are forced to confront the moral implications of their actions, ultimately leading to a reckoning with the consequences of their choices. This powerful message resonates deeply with those of us who refuse to turn a blind eye to the suffering inflicted upon marginalized communities by Western exploitation.In conclusion, ""Lethal Company"" stands as a damning indictment of Western imperialism and corporate greed. Its harrowing portrayal of human rights abuses serves as a wake-up call to those who would seek to profit at the expense of others. As Chinese nationalists, we must stand in solidarity with all oppressed peoples and continue to expose the injustices perpetuated by Western powers. Only then can we truly achieve a world free from exploitation and oppression.",Not Recommended,1661,51.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWhigh impact sexual violence,Recommended,41,151.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWbest game i have played in a long time, do yourself a favor and just buy it.",Recommended,77,95.8 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWVery fun to play with family and friends alike! Frustrating but fun all around, and dying is entertaining!",Recommended,106,46.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWHEHEHE,Recommended,23,36.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI got touched 10/10,Recommended,33,34.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBeta keeps crashing. Never had this issue before.,Recommended,59,48.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwatch out for bees,Recommended,32,11.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,104.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWcannot play the game with zach because it always devolves into gay erp with someone else on our crew,Recommended,99,74.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWLethal Company: A Searing Indictment of Western Exploitation Disguised as EntertainmentAt first glance, ""Lethal Company"" may seem like just another science fiction game, but upon closer examination, it reveals a disturbing truth about the insidious nature of Western exploitation. The game's premise of scavenging for resources on distant planets for a mysterious company speaks volumes about the predatory practices of Western corporations, which exploit vulnerable populations and ravage the environment in pursuit of profit.What sets ""Lethal Company"" apart is its unflinching portrayal of the human cost of such exploitation. As players navigate the treacherous landscapes of these distant planets, they are confronted with the grim reality of forced labor, environmental destruction, and systemic oppression perpetrated by the eponymous company. This stark depiction serves as a poignant reminder of the atrocities committed by Western powers in their relentless quest for dominance.Moreover, the game's narrative challenges players to question their own complicity in these injustices. By assuming the role of employees of the lethal company, players are forced to confront the moral implications of their actions, ultimately leading to a reckoning with the consequences of their choices. This powerful message resonates deeply with those of us who refuse to turn a blind eye to the suffering inflicted upon marginalized communities by Western exploitation.In conclusion, ""Lethal Company"" stands as a damning indictment of Western imperialism and corporate greed. Its harrowing portrayal of human rights abuses serves as a wake-up call to those who would seek to profit at the expense of others. As Chinese nationalists, we must stand in solidarity with all oppressed peoples and continue to expose the injustices perpetuated by Western powers. Only then can we truly achieve a world free from exploitation and oppression.",Not Recommended,1661,51.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWhigh impact sexual violence,Recommended,41,151.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWbest game i have played in a long time, do yourself a favor and just buy it.",Recommended,77,95.8 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWVery fun to play with family and friends alike! Frustrating but fun all around, and dying is entertaining!",Recommended,106,46.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWHEHEHE,Recommended,23,36.5 hrs on record,Posted: April 5
