ReviewText,Review,ReviewLength,PlayHours,DatePosted,Game
"this game has a whole lot of potential and im all for it. im having alot of fun and the only thing i wanna see in the game now is a sort of reputation system. like you are able to join different factions and the bosses can be people you can talk to and do things for, making them more involved and enhance the game. kind of like how Fallout New Vegas did it. but of course that is just a want of mine and im down for any updates that come to the game. i cannot wait to see how this game continues.",Recommended,411,21.1 hrs on record,Posted: April 5,Palworld
"Fun all around, everything the game it closely resembles should have been, and then some. Trying to get a few people to play it, but I'll be sticking around on this one for as long as they keep it going.",Recommended,181,210.4 hrs on record,Posted: April 5,Palworld
"One of the best made, most fun, early release games i've ever played. I haven't played a game 14 hours straight since BO3. Love this game and still grinding to level 50.",Recommended,155,45.6 hrs on record,Posted: April 5,Palworld
been pretty fun so far,Recommended,35,12.5 hrs on record,Posted: April 5,Palworld
a pal touched me and im sure how i feel about it,Recommended,54,90.0 hrs on record,Posted: April 5,Palworld
great game. affordable price. attentive devs. 9/10,Recommended,61,210.6 hrs on record,Posted: April 5,Palworld
"good, fun game",Recommended,29,195.1 hrs on record,Posted: April 5,Palworld
pokemon with guns,Recommended,32,69.4 hrs on record,Posted: April 5,Palworld
best combin of pokemons and making them do slavery for free and shooting them with guns,Recommended,89,4.9 hrs on record,Posted: April 5,Palworld
..,Recommended,19,14.6 hrs on record,Posted: April 5,Palworld
great game. mow your enemies down and butcher your Pals for fun,Recommended,69,10.2 hrs on record,Posted: April 5,Palworld
not good,Not Recommended,24,26.5 hrs on record,Posted: April 5,Palworld
"Pokemon meets Minecraft, I have lost hours and hours playing this game. It's addicting and something you can get lost in with friends and family.",Recommended,138,13.7 hrs on record,Posted: April 5,Palworld
W mechanics W graphics W game,Recommended,41,121.8 hrs on record,Posted: April 5,Palworld
ark but with pokemon,Recommended,34,14.7 hrs on record,Posted: April 5,Palworld
it was great eith friemds wish there was more stuff to do,Recommended,63,121.9 hrs on record,Posted: April 5,Palworld
game,Recommended,21,47.9 hrs on record,Posted: April 5,Palworld
slavery,Recommended,24,37.3 hrs on record,Posted: April 5,Palworld
This is the most fun I have had with a survival game in a long time. Can't wait for the new area this summer.,Recommended,103,88.3 hrs on record,Posted: April 5,Palworld
yippee,Recommended,23,45.9 hrs on record,Posted: April 5,Palworld
10/10,Recommended,22,82.6 hrs on record,Posted: April 5,Palworld
"Yeah, this game 100% deserves the love the comunity is giving. The first big patch just came after a couple of months, and let me tell you, this people do read comments and feedback, they just added or fixed like 70% of the features the comunity requetsed and wanted. This game is worth every single penny!",Recommended,268,74.0 hrs on record,Posted: April 5,Palworld
i love this game. i love how the devs are funny and they actually listen to player feedback and comments. i hope they never change and keep doing what they're doing because it's fun and I can't wait for more content and new pals <3,Recommended,204,156.0 hrs on record,Posted: April 5,Palworld
i like,Recommended,22,76.1 hrs on record,Posted: April 5,Palworld
Absolutely in love with this game. I can't wait to see where it'll go from here!,Recommended,82,19.5 hrs on record,Posted: April 5,Palworld
Very fun and highly entertaining.,Recommended,46,53.0 hrs on record,Posted: April 5,Palworld
forced labor but OKAY,Recommended,35,57.6 hrs on record,Posted: April 5,Palworld
This game is pretty goated I dunno what else to say,Recommended,58,11.0 hrs on record,Posted: April 5,Palworld
so fun oh my geeeeee:3333333,Recommended,41,104.7 hrs on record,Posted: April 5,Palworld
Great,Recommended,22,17.3 hrs on record,Posted: April 5,Palworld
これは本当に楽しいですよー,Recommended,30,46.6 hrs on record,Posted: April 5,Palworld
"absolutely love this game, very good alternative to pokemon and ark and many game like that. very fun, cute critters and i love the building in it too. great game",Recommended,150,9.4 hrs on record,Posted: April 5,Palworld
"It's a Pokemon reboot but with the action rpg battles we always wanted. Online play would be better with a massive (or a few) official online servers that were stable/reliable. But otherwise, it's totally worth it!",Recommended,196,190.8 hrs on record,Posted: April 5,Palworld
"It's honestly amazing, and I highly recommend anyone who loves a good action RPG game like Pokemon: Legends Arceus",Recommended,113,7.6 hrs on record,Posted: April 5,Palworld
There's no laws against the Poke'mon Batman.,Recommended,55,60.0 hrs on record,Posted: April 5,Palworld
yup,Recommended,20,5.5 hrs on record,Posted: April 5,Palworld
ط,Recommended,18,76.4 hrs on record,Posted: April 5,Palworld
Great game,Recommended,26,33.4 hrs on record,Posted: April 5,Palworld
i love this game but it will never open now this is a just a waste of money do not buy,Not Recommended,83,37.9 hrs on record,Posted: April 5,Palworld
Why grind by yourself when you can make your Pal slaves grind for you? :-),Recommended,77,69.9 hrs on record,Posted: April 5,Palworld
"People keep saying this game is literally Pokemon with slavery. But I never see my Pals as slaves.I see them as dirt, i see them as below me, in fact i dont even see them sometimes. i forget they even serve me. i feed them their deceased Brethren, make sure they never are sane enough to realize how horrible their lives are.I dont blink an eye if any disappear from my base, i can capture another.I really love this game.",Recommended,360,25.9 hrs on record,Posted: April 5,Palworld
"It would have been the perfect catch'em'type game if not for all the crashes and data loss.... I'll be playing for an hour or so and it'll crash out of nowhere and I'll lose that entire hour or so I've been playing, all the pets gone, all the base work gone... as if I wasn't even playing the past hour... its getting to the point of why bother at all untill its fixed, I'm not too fond of wasting time on a game just to have it self erase.... it would have been my top game if not for the crashing.. guess it's back to my other games till its playable on steam deck. In all honesty I can't reccomend the game the way its erases data when crashing. Normal crash I can deal with but erasing the past hour is ridiculous.",Not Recommended,594,99.1 hrs on record,Posted: April 5,Palworld
"I really had an amazing time playing this game with my friend wob, he even made a home for me to live in, in real life... i don't even have a bed, but in this game i do! <3",Recommended,151,16.2 hrs on record,Posted: April 5,Palworld
fun,Recommended,20,35.6 hrs on record,Posted: April 5,Palworld
pretty epic but the key chest and schematic rng is kinda bs. but i loved most of my gameplay aside from getting clapped by a gang of pals.,Recommended,128,24.4 hrs on record,Posted: April 5,Palworld
Slavery Simulator,Recommended,33,56.3 hrs on record,Posted: April 5,Palworld
New update ruined all the time i invested in my base that was in the first castle with now new terrain that has engulfed all my important stuff and i can't get it. and now if i quit the game from a glitched spot that has me stuck i no longer load in to my main base no now i load in stuck still in the spot i was last before leaving game and i cant kill my character and get his loot cause the loot bag would be stuck in a place i cant get to like wtf the game was fine for me just 24 hours ago logged on and now i am screwed i hope this gets fixed in the future so i have a reason to play again. GG,Not Recommended,484,137.3 hrs on record,Posted: April 5,Palworld
"I should start by saying I had never really played a survival-type game until Palworld. They always seemed so out of my skill range and so daunting. I saw the first public videos of Palworld in its old engine and thought, ""Ha guns and little Mon's interesting."" Honestly, I didn't think it would even make it to early access. Well, look at me, so I was proved wrong. It launched in a new graphic style and with a lot of visual improvements and big upgrades. I started and started solo and was instantly hooked. The game walks you through the learning process in such a nice elegant way. I never felt like anything was impossible or out of my reach if I didn't just put some effort into it. I have almost 500 days on my server and 300hrs. I've purchased several more survival games from other indie companies and re fallen in love with video games.",Recommended,708,309.1 hrs on record,Posted: April 5,Palworld
still some bugs here n there but very fun over all... would 100% recommend,Recommended,78,124.3 hrs on record,Posted: April 5,Palworld
"Needs a lot of optimizing still, but HOLY BEAVER DAMN! If this isn’t the best monster catcher i’ve played to date(sorry Pokeman’s but you don’t try hard enough)You can ride your creatures around and it’s pretty big. Looting, storing, and crafting stuff keeps me busy just enough that it’s a great grind!",Recommended,269,26.5 hrs on record,Posted: April 5,Palworld
I love it when my sl- I mean pals hold guns and do all the work for me :) 10/10.1 Amazing game,Recommended,90,4.9 hrs on record,Posted: April 5,Palworld
"Great game nice to see it gets updated.Though the CONTENT right now is really limited.I love the Game play loop of just discovering the world, once you get your base up and running.I love survival games, I never really played monster capture games that much.But it was nice to see how they incorporated these 2 genre pretty well.There's are still some bugs here and there but It's still in early access, they do fix it and send an update patch whenever they see a bug that is not an intended feature.Problem with the game right now in early access is that the world right now is kind of empty.Yes there are dungeons to beat, Towers to defeat, and Pal bosses to capture or fight.But the map is too big and there's so little things going on on the map.Suggestions:""Content for Discovery""The villages and Towns don't have anything going on in them.I suggest to come up with a Dev team writers that will flesh out a story on every town/region or factions with town people or characters giving you quests. like capture specific pals for trade and you get rewarded with Key items. Or given access to a dungeon or a certain area. Maybe an underground city or some floating islands, or the terrain change if you fight and defeat certain Pal boss.Like what if one of the giant skeletons lying around get's revived (by PGRU) and when defeated turns out it was covering dungeon underneath it. Then we would explore that underwater dungeon and it's all water themed pals in it.Or what if Free Pal Alliance angered a giant Pal that caused the forests to over grow, and changed the landscape of a certain region. Where then the Pals in these forest became stronger and much faster.Or have the Brothers of the Eternal Pyre Accidentally Summon or Disturbed a giant Pal that was sleeping in the volcano upon waking up it caused the volcano to erupt that also changed the landscape, like the Lava levels rising and maybe causing certain areas to move unlocking cave caverns.There's also a possibility of a Giant Pal coming out of the ground in the dessert and changing the landscape having caves underneath to explore.There's so many possibilities.There's also different factions and option to add certain factions like people who are fighting against Free Pal Alliance, they could be living on tree houses,Opposite of Brothers of The Eternal Pyre. People who just like to surf or swim with their Pals.Or the total opposite of Free Pal Alliance who uses the Pals for mining in Caves.There's some ruins here and there, make some random events on certain locations to make it interesting. Make up some lore like there would be a ghost related pal that visits one of the church in certain nights or like in full moon.I really wish they flesh out the story more, it doesn't have to be voice acted or good animated cut scenes.Have some weather or celestial cycles that affects certain Pals.i.e.Rain would make fire pals weak and water pals much stronger.Full moon would make dark pals restless and much powerful.Make the Swamp or certain areas misty.""Quality of Life""I like how there's a lot of Quality of Life features that makes the game more accessible.> Have the option so that a server can have at least 1 person sleeping and it skips the night.Though I wondered if they should add a building for gathering Items or hunting materials. You would assign pals that would go hunt/gather the assigned materials and each pals would have specific materials they can hunt or gather. They wouldn't need to be animated or anything just a slot in the menu of some sort.This way there's other ways to farm items, Instead of having a ranch with all your pals that could cause lags you would have pals that are just assigned to gather those materials overtime and depending on their gathering level or stats they can get as many as those item or not. This also makes use of those powerful pals we have but can't be in the party or bases.",Recommended,3237,55.3 hrs on record,Posted: April 5,Palworld
"THIS GAME IS A LOT MORE FUN THAN I THOUGHT IT WOULD BE. If you like the following games i wold recommend this game: Pokemon legends Arcus, BOTW TOTK, eldenring",Recommended,147,18.4 hrs on record,Posted: April 5,Palworld
ill play this game again when they add pokemon sex,Recommended,58,7.0 hrs on record,Posted: April 5,Palworld
idk,Recommended,20,0.7 hrs on record,Posted: April 5,Palworld
Most of my first 80 hours were played in one 3 day weekend. I had to quit cold turkey for a while to regain my sanity....I now breath and sleep this game!,Recommended,140,97.0 hrs on record,Posted: April 5,Palworld
better than pokemon,Recommended,34,94.9 hrs on record,Posted: April 5,Palworld
Game crashes every time i try to run it. this started at update 0.2.0.6,Not Recommended,75,207.6 hrs on record,Posted: April 5,Palworld
slavery like the good oll days,Recommended,42,40.6 hrs on record,Posted: April 5,Palworld
Committed crimes against humanity,Recommended,47,27.3 hrs on record,Posted: April 5,Palworld
nfgadcmhzgdsifvghgtdscjydsgc goooood,Recommended,52,176.3 hrs on record,Posted: April 5,Palworld
"I love this game, and I spend many hours collecting new pals, building things and just over all petting my pals. I love the merge of tamagatchi and digimon mechanics with those of things like Shin Megami Tensei.",Recommended,191,55.3 hrs on record,Posted: April 5,Palworld
"I truly cannot begin to explain the extensive fun there is to be had playing this game. The rumors are true! Take Pokemon, add a survival game like Rust, The Forest, Arc, then allow the player to do whatever they want. Overall, it is really well mixed. You need certain pals for tasks such as a fire type to smelt ore. There is multiplayer but such a large learning curve. I would recommend setting easy custom settings on a solo server before playing multiplayer.",Recommended,398,26.2 hrs on record,Posted: April 5,Palworld
very interesting game,Recommended,36,31.3 hrs on record,Posted: April 5,Palworld
fun,Recommended,20,25.2 hrs on record,Posted: April 5,Palworld
REALLY GPOPD,Recommended,28,52.1 hrs on record,Posted: April 5,Palworld
ok,Recommended,19,64.7 hrs on record,Posted: April 5,Palworld
We Need Palworld: More Than Just Pals,Recommended,48,17.4 hrs on record,Posted: April 5,Palworld
really fun to acomplish many things,Recommended,47,50.1 hrs on record,Posted: April 5,Palworld
Nerfs killed the game,Not Recommended,35,219.1 hrs on record,Posted: April 5,Palworld
its pokemon with guns where you can make sweatshops whats not to like,Recommended,74,47.1 hrs on record,Posted: April 5,Palworld
It's worlds of fun!,Recommended,33,129.5 hrs on record,Posted: April 5,Palworld
good guns and the pals are good. lots of fun bugs go on top the capule and you go flying breed eggs get guns make a home guns pals and bosses to. recommend...,Recommended,143,26.5 hrs on record,Posted: April 5,Palworld
It's cool,Recommended,25,112.3 hrs on record,Posted: 4 April,Craftopia
"I love the references and mechanics from other games. Buggy at time of writing, but lovely for what it is, a small team's personal project.",Recommended,132,73.7 hrs on record,Posted: 3 April,Craftopia
"it's like taking zelda, minecraft, and pokemon and then putting them in a blender",Recommended,85,6.8 hrs on record,Posted: 2 April,Craftopia
fun,Recommended,20,12.1 hrs on record,Posted: 1 April,Craftopia
"This game is fun, and engaging, if a bit grindy. I think the magic is my favorite part.",Recommended,87,22.3 hrs on record,Posted: 1 April,Craftopia
I remember the old game setup not even close to the 1 that is out now.More to look at and explore!,Recommended,95,35.1 hrs on record,Posted: 31 March,Craftopia
"I loved the original Craftopia, however the seamless world update completely changed the game. Honestly, it looks and runs horrible now. The character creation is terrible and for some reason there is a dumb character outline glow. The movement and look just feels gross. I'm sad they ruined a fun little game and turns it into this.",Not Recommended,294,79.9 hrs on record,Posted: 3 April,Craftopia
"Crazy jank! Super glitchy movement, invisible walls all over the place (some which you hilariously can climb), not well optimized at all, shadows flicker to the extreme and you can see through terrain depending on camera orientation. Plus the story is outrageously bad! This was not at all what I expected, this feels like a very unfinished early alpha.",Not Recommended,312,0.3 hrs on record,Posted: 3 April,Craftopia
"Winter had swept in, and as the festivities died down after the holidays ended and the new year began, the town had grown quiet, as it usually does. Men and women and children bundled up inside their homes with the heaters on and loved ones snuggled up in their blankets- and then there was me, staring up at the ceiling, wishing summer would come back.I was an adult now. I had taxes to file, jobs to do, classes to attend. It all felt almost underwhelming in a way, like barely anything changed at all.I wanted to relive some of those memories I had. I wanted to play back through those games that changed my life. I wanted to relive what it was like to play through them for the first time again. But that was impossible. Breath of the Wild was my favorite game of all time, and even with that, I'd played Tears of the Kingdom the previous year and BOTW too many times to count. I was so bored. All I did was laze around in bed and talk to friends and talk about how we've gotta find something new to do and yet not wanting to do anything new. Because what I really wanted wasn't something new, I wanted something old.This game ♥♥♥♥♥♥♥ sucks. I mean it's buggy, runs horribly, is hilariously incomplete, and the systems are all just a bunch of assets and game mechanics stolen from other games and dumped together with no thought whatsoever. I mean when I say buggy it's an understatement too, half the bosses don't even drop what they're supposed to, there are certain areas that just don't even have bosses that clearly are supposed to have them, one time I was fighting a boss and I got to half health, then to dodge one of his attacks I flew up and apparently I got too far from the boss so it just reset to max health??Still had fun though. Wait for a sale and play with friends.",Not Recommended,1468,10.2 hrs on record,Posted: 2 April,Craftopia
"""This item may bring you despair. Even though this beautiful world is filled with all kinds of possibilities, buttered toast always lands buttered side down; it rains after you wash your car; the more you want, the less chance you acquire splendid loots from a loot box. Of course you won't realize you have no paper before its to late."" Is the description for toilet paper amen.",Recommended,330,20.3 hrs on record,Posted: 30 March,Craftopia
God I wish Breath of the Wild was on steam,Recommended,50,37.0 hrs on record,Posted: March 28,Craftopia
Unplayable. Too expensive in this situation.,Not Recommended,56,9.6 hrs on record,Posted: March 27,Craftopia
"I like it, wish there were more mods",Recommended,46,58.1 hrs on record,Posted: March 25,Craftopia
gud,Recommended,20,20.8 hrs on record,Posted: March 25,Craftopia
gud,Recommended,20,22.7 hrs on record,Posted: March 25,Craftopia
"GAME IS PROGRESING IN RIGHT DIRECTION, BECOMING MORE ENJOYABLE, KIDS LOVE IT AND SO DO US ADULTS",Recommended,97,44.1 hrs on record,Posted: March 25,Craftopia
"This game is an absolutely janky and ridiculously buggy mess and I love everything about it. It's got a bit of everything and it's a hilariously awesome. It's clearly not a finished product, but once it's done, this is definitely going to be a real treasure. I will admit that it's not for everybody, but I also say it's basically designed to be. I say give it a chance.",Recommended,319,283.4 hrs on record,Posted: March 31,Craftopia
"Yes it's still in early access and yes there are a lot of bugs and things that don't work properly. Yes the dialogue and NPCs are carbon copies of eachother and the quest system is your standard, ""collect 5 of X"" or ""kill X monster"" but I adore this game any how. Sue me.",Recommended,235,65.3 hrs on record,Posted: March 26,Craftopia
I picked it up again recently to see how the game is doing and it has changed completely in how it was set up to be played when it first came out.Honestly the developers 1000% already moved on to Pal World. This game is basically dying slowly.,Not Recommended,214,11.0 hrs on record,Posted: March 25,Craftopia
"Giving this game a positive review because it's still being developed. It's never had this much content before, people are crying for no reason.To the people who are crying about this game ceasing development because of palworld: No. It hasn't.",Recommended,222,36.7 hrs on record,Posted: March 25,Craftopia
⭐⭐⭐⭐,Recommended,21,30.4 hrs on record,Posted: March 24,Craftopia
🎈I recommend this game because its high quality and i'm a survival game fan u gotta try this game now 🎈,Recommended,100,73.4 hrs on record,Posted: March 19,Craftopia
It only took 5 minutes of playing this game to realise that this was going to be the least fun experience I have had in years.,Not Recommended,118,0.3 hrs on record,Posted: March 18,Craftopia
"1. Beautiful graphics and art style2. Lots of skills to master and upgrade3. Relaxing or Gripping depending on which style you prefer4. Dedicated devs5. How has Nintendo not sued yet?Anyways, love this game!",Recommended,192,14.6 hrs on record,Posted: March 20,Craftopia
"Haven't played for 4 years and id like to point out this game is such a cash grab it might as well be named so, and on a side note all the reviews marked as irrelevant are bad reviews or reviews that are to honest for the dev to handle, 10/10 go ♥♥♥♥ yourself pocketpair",Not Recommended,233,17.0 hrs on record,Posted: March 20,Craftopia
"Craftopia is an amusing riddle.Just like many ""Open World"" crafting/survival -esque games, there is barely any objective other than to wander around and armor yourself with whatever you want/can. This means that you can take your time and do whatever next you desire, but at the same time, lacking any defined ultimate goal.""Crafting"" seems to be the short term goal, and you can eventually do factories that do things in-masse, like an infinite number of hot dogs or massively producing weapons: you can use those to clear some ""achievements"" which is always to sacrifice X amount of items, so you can get a barely noticeable increase of stat (ranging from decimal points of Strength, critical damage, or a sometimes laughable amount of experience).The problem is that most of these stat increases are so little, that there is little reward to sacrifice some valuable items, so you end up ignoring those completely.Graphics are okay, can be both breathtaking or boring, depending on what you looking at.Design choices...well, there is a lot to say.There is quite a lot of animal abuse (done in a cartoonish way) but the animals and some monsters styles are somewhat mismatched (most livestock have a realistic design, but goblins are too goofy, for example). Still, some people may find that annoying.There is still a lot of issues with the skill tree, some skills scaling normal, some others scale extremely poorly, have awkward execution (skill attacks in place while enemy easily moves to the sides), the targeting system needs some work and overall, hitting and smashing enemies should feel satisfying, which right now i cannot concur.Oh and just for anyone new, there are 2 versions of this game, but this review is mostly for the new version.Pros:+Graphics are nice, maybe a bit average by today standards.+A lot of out of place things that will make you chuckle, try bombing a goblin with a tank.+Barely any limits on when building/crafting is involved, so you can do whatever you want.+Quite a good amount of quirky items, like guns, helicopters, cars, etc.+Many new life improvements (like enchanting, pets or bigger item stacks). Bosses can be fought multiple times easier, without having to go through the dungeons over and over.+Able to max out the number of sacrificed items for every category is a good goal...Cons-...if the incentives where a bit better.-Despite its improvements over the first version, some things have been nerfed negatively (heal has a super long delay, refinement stones can only be acquired via disassembly, some recipes are anubis gated or harder to get, among others)-Battle system still feels clunky.-Physics still have many problems and you can no longer do some things that you could before effectively (the farm stack works, but it may clip on the ground, be flown way by fans or conveyors, etc).-Goddawful character creation options: extremely limited amount of faces, hairstyles,etc. For a game that brags on world customization, its pretty limited on this department.-No Story, pretty much. No ""real"" characters to interact, no real motive for adventuring/surviving, other than ""oops, i did a bubu""-NPCs look a bit better, but still are lifeless drones. At least they no longer poop in place. Or maybe they do.-Just one Island with many biomes. I preferred having multiple islands with their respective biome.Neutral= Is it wrong if i prefer some of the older ""puzzle"" or challenge type dungeons from the previous release?= Where is the log guy? I want to give him a log.Just like my review, Craftopia is all over the place, but i feel confident that you may find somewhat you may like so, even with all its flaws, i can recommend it, as long as you don't have high expectations.Either making a farm and forgetting about adventure, wandering around and finding stuff, crafting stuff to infinity, or making the sky castle you always wanted.Do whatever and poop wherever you want.",Recommended,3299,481.1 hrs on record,Posted: March 20,Craftopia
"I do not understand how this is mostly positive. Its buggy, performs poorly and has been in early access for years. I picked this up when it first became available on steam and its some how gotten worse over time. They've copied more from botw for no reason like the starting area being a platue, the musical jingles and a lot of enemies are heavily based in botw enemies the most obvious being the 'goblins' which are clearly bokolins.Game needs some SERIOUSLY TLC and at this point Im not sure it can walk back all the botw 'inspiration' enough to make the game its own thing.The game also just runs very poorly with frame drops, getting stuck on terrain, game crashes and enemies/creatures clearly moving at lower frames then everything else.",Not Recommended,632,7.0 hrs on record,Posted: March 18,Craftopia
"Game worked fine but now doesn't work even though I meet the minimum system requirements. Game is not optimized well for lower-end PCs. It's RAM intensive and 16GB Ram and not shared should be minimum, but really you need 32 GB RAM minimum.",Not Recommended,215,20.7 hrs on record,Posted: March 17,Craftopia
"You CAN have fun playing it, but there is a lot of flaws with the game. It's very easy to exploit, and things feel just throw out all over the place. I got this because of Palworld.",Not Recommended,162,16.6 hrs on record,Posted: March 17,Craftopia
"After an announcement made in the Palworld Discord about Craftopia I decided to check out some gameplays and give it a shot. I actually like Craftopia more than I like Palworld. It just, feels better to play and somehow it doesn't feel repetitive. After playing multiple runthroughs with Palworld (which I also like) I find myself preferring Craftopia because Palworld gets boring once its time to level up endgame pals. I just gave up because the condenser requires just too much and I lost interest. Building in PAlworld was also too limited. While the interface of Craftopia is similar, the gameplay focuses on crafting rather than catching pals. I love crafting when its worth it. Craftopia makes it worth it. Will Update as I get through more of the game",Recommended,647,20.8 hrs on record,Posted: March 17,Craftopia
"If I could turn the pageIn time then I'd rearrange just a day or twoClose my, close my, close my eyesBut I couldn't find a waySo I'll settle for one day to believe in youTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesAlthough I'm not making plansI hope that you'll understand there's a reason whyClose your, close your, close your eyesNo more broken heartsWe're better off apart, let's give it a tryTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesIf I could turn the pageIn time then I'd rearrange just a day or twoClose my, close my, close my eyesBut I couldn't find a waySo I'll settle for one day to believe in youTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesTell me, tell me lies",Not Recommended,1099,108.9 hrs on record,Posted: March 16,Craftopia
really good game,Recommended,31,62.8 hrs on record,Posted: March 16,Craftopia
Why buy this game if you can afford Palworld?,Not Recommended,54,124.4 hrs on record,Posted: March 15,Craftopia
"The translations are comedy gold. Guess they couldn't find one person that speaks English. Here is a selection of fish:Giant Trevally - Is exactly exile who like to taste alone swim there as lonely at large. Sessha the giant trevally. The bamboo basket is flowing.Blue Turtle - Is a turtle to live longer a huge, is a valuable meat eaten by the sea. Eggs gave birth in tears also be eaten.Shrimp - Some large varieties to eat to capture the tiger called black tiger.Koi Fish - Greed in consuming eat everything, but easy to the minute fishing. Gory need people time to eat for.The developer put out a statement today to reassure gamers that the success of Palworld won't take away from the development of Craftopia as they are developed by separate teams.Let me translate the above: Don't worry, the developers that actually know what they are doing won't touch this game. It will stay with the same team that sat on this bugfest for years.In terms of updates, the Seamless update (which took 2 years to release) gutted most of the content. The Seamless update released 9 months ago. The update this week finally restored the last Evolution Age that was gutted by the Seamless update and existed 3 years ago.I'm rating this up, because I had fun messing around in coop. However, the game is still full of bugs and has a terrible performance. The moment you set up any automation, the FPS tanks. I ended up watching a slide show again today when my FPS fell to 9 on my RTX 3080 at 1440p.",Recommended,1237,221.4 hrs on record,Posted: March 16,Craftopia
"very very disappointing. so clunky and buggy, its unplayable imo.",Not Recommended,73,0.3 hrs on record,Posted: March 11,Craftopia
Multiplayer monster catcher survival game version of Zelda!!!!,Recommended,72,55.5 hrs on record,Posted: March 10,Craftopia
Bought this game to setup a dedicated server for family and spent most of the 8 hrs troubleshooting why the heck the NPC's are lagging no matter how much resources I gave the server.,Not Recommended,166,23.7 hrs on record,Posted: March 15,Craftopia
"very good game. i recommend it to everybody who enjoy erg, survival, sandbox game. it's still in early acces so a lot of bug are there, but than again since it is in early verzion than we shoul expect a lot more to come. the developer is as well very active since the uptade about bug fix are comming out pretty fast. PS: sorry about my bad english.",Recommended,299,7.1 hrs on record,Posted: March 15,Craftopia
"Thoroughly enjoy the game now; as I did when I first bought it 2 years ago. Granted some aspects of the game are still being worked on, but that's neither here nor there. Great job on developing Craftopia to what it is now, I can't wait to see what the future has in store.",Recommended,237,135.4 hrs on record,Posted: March 14,Craftopia
"This game has such a huge potential, at this point I think it was a testing block for Palworld.Pros:Tame creaturesAutomation for grindingFun CombatGreat skill TreeHuge SandboxCreativity for building can go farCons:Horribly unstable MultiplayerNo real end game contentEven with NPC quests game feels deadVery little customization for charactersRegular movement can be clunklyRating 6/10I would recommend if wanting a nice singleplayer experience and more of a chill laid back gameplay. Would rate higher if the game had more features and multiplayer was more stable.",Recommended,501,5.4 hrs on record,Posted: March 11,Craftopia
cute,Recommended,21,74.2 hrs on record,Posted: March 8,Craftopia
The frame rates are not good. I have adjusted everything and there still are issues where this can be totally unplayable to 90% of players out there.,Not Recommended,140,392.7 hrs on record,Posted: March 5,Craftopia
"Let your imagination go free and create, fun game",Recommended,58,8.1 hrs on record,Posted: March 5,Craftopia
"This game is still Early Access. There is quite of content in game considering it's development stage,The game is not optimsed. I play on an high end rig, which most people don't. I have had a few glitches and discovered a really annoying bug, where trying to place work benches down or other benches, it just wouldn't work.It is quite enjoyable and graphics are very beautiful. Many of the quests make absolutely no sense, simply because there is no real in game tutorial and what their is woefully under done. If your thinking of buying and playing this, this game is still in developed. Fixing bugs such the one I mentioned that after a while you can' see to place any thing, which does break the game in the sense that without the crafting tables you've made, you get to a play point in the game where it just stops you from placing anything on the ground.The main thing is the development team have split in half so they do this game and another relatively well known game. I have no interest in advertising their other game but its very easy to find, that is all I m going to say about that.The game play really doesn't play, since it has some major functions that the game is still lacking. Bare in mind I am referring to single player mode only. I imagine the devs would have more incentive to a number of problems, they maybe did't think would be a problem or it could be fixed quickly, well it hasn't so far.Right now, I would wait for the game to get it's main stuff put in to the game, for example the rest of the towers. The vehicles in this game don't work too well, very little thought went to drive able or flyable. Driving is just a dreadful experience at the moment. Kite flying is quite smooth, no problems with it.let me just partially list some of the bad things, its not exhaustive but I don't to be here all night either writing a review on a game that still feels like it is still in late alpha build, as for beta, despite the size of the game right now, it's meaningless when there is no game manual that tells you how to use some of the stuff and how to play the game.Needs some things to be adjusted.Graphics are beautiful, the game play smoothly for me, apart from the annoying bugs that forced me to stop playing. I played 3 hours, and thoroughly enjoyed every minute of it.Cons - No voice acting, no npc helping you fight monsters (at least in Genshin Impact had multiple characters you use anyone time.) The NPC's really need to be livened up somewhat. They don't seem to communicate with each other, or start up random conversations. For me NPC interaction with each other is vital because it stops the world becoming bore fest. It would also be nice if we could befriend and npc, so we can go monster killing, item collecting etc. It wouldn't matter in multiplayer, but in single player, without interaction the game world feels utterly dead. Hence other developers have had to learn the long way However that isn't the word I was shooting for.A full written guide is absolutely needed. I am sure ALL the bugs will be fixed in time. But the biggest bug that stopped me playing, was suddenly unable to place any type of workbench etc on the ground. Then is the badly janky driving, either airplanes, bikes or cars. However that Jankiness is just terrible. I want a smooth drive, without having to auto crash into walls..it's also got another bug, where when you get off your motorbike which is where we immediately get to work, laIf your on the fence about buying this game. wait for it on steam sale. There are other legal online sellers for selling the keys.",Not Recommended,2951,3.3 hrs on record,Posted: March 6,Craftopia
ya craft make fun.. die to goblin make sad,Recommended,51,41.6 hrs on record,Posted: March 5,Craftopia
